nama,fakultas,nilai_kal,nilai_fis,nilai_kim
Dvijatma Muhammad,SF,59.97,59.33,61.38
Krisna Mulyadi,FSRD,76.68,78.9,61.49
Amadea Setiawan,FTMD,57.86,57.14,66.24
Alfatiya Bimo,FITB,45.05,49.53,44.29
Carissa Dylan,FMIPA,50.84,54.33,53.14
Afriany Wiratathya,FTSL,34.55,35.46,75.15
Al muhammad,FTTM,41.14,44.89,54.12
Alifya Dila,FITB,45.18,47.43,36.74
Hidayatulloh Raki,SAPPK,47.46,48.03,53.22
Qurratuain Samantha,SITHS,62.44,62.3,66.43
Muhammad Wibisono,FTTM,38.68,42.3,54.2
Aisha Purbowiseso,FTMD,58.48,63.99,55.38
Celta Rahmawan,SITHR,64.06,63.18,63.17
Rizky Muhannad,FTSL,33.03,37.46,58.59
Adryan Akhmad,FMIPA,49.25,53.94,49.33
Qurratu Habibie,SF,61.22,57.83,49.73
Pramana sandy,SBM,68.47,67.43,60.04
Kottama Audira,SITHS,62.29,64.09,64.29
Fachry Bernard,SAPPK,48.16,51.99,57.74
Zulfikarini Qorni,FTTM,38.98,47.13,59.16
Putri Della,SBM,65.67,70.96,51.7
Matondang Dustin,FMIPA,49.44,56.0,55.69
Zaidan P,FTTM,42.54,51.47,66.86
Fazadiara Aradhana,FTTM,41.34,47.31,60.23
Juan Allysa,SAPPK,47.47,50.38,57.92
Tanjaya Wira,FITB,43.75,52.21,61.23
Yoel Felicia,SITHR,65.03,65.42,67.54
raka Anargya,FMIPA,50.78,54.14,61.48
Johannes Halim,SITHR,63.21,67.43,73.68
Fikri Qolbi,FTMD,57.99,64.31,50.35
Intan Miranda,FTSL,30.63,31.02,45.08
Raksadinata Hafidh,STEI,54.66,53.53,60.32
Muzdalifah Christian,FTMD,59.03,65.18,57.69
Hansel Ricard,FITB,46.5,48.41,68.19
Sreshi Salsabila,FTTM,41.67,44.08,50.38
Iedfaza Nadhira,FITB,45.58,48.1,64.03
Fatanillah Dimas,FITB,43.76,47.84,76.19
Putri Yasmin,FMIPA,48.84,53.25,59.59
Claudia Erry,FMIPA,48.85,44.95,42.94
Abdullah Samsea,FMIPA,50.1,53.89,56.13
Fariz Inas,SITHS,62.37,66.66,64.43
Christopher Qaulika,FTTM,41.09,44.39,58.43
Maharani Sabrina,FTMD,56.45,56.64,69.29
Rio Abraham,FSRD,77.33,78.94,60.66
Daneera Susanti,STEI,54.62,55.64,67.37
Anggito Keisha,SBM,68.46,71.47,54.16
Putra Erick,FMIPA,50.29,45.1,69.27
Ghassani Ningrum,FITB,45.24,50.29,62.62
Adji Rahman,STEI,55.67,57.43,39.62
Noveta Yakobus,STEI,52.34,56.42,62.44
Martin Zaki,FTTM,43.42,49.15,45.24
Nisrina Sirait,FTSL,34.55,40.2,43.99
Hana Alfreda,FTMD,58.29,59.92,35.12
Munir Muhammad,FTMD,56.05,60.13,55.39
Simanjuntak Bilqisthie,FTMD,59.29,61.46,42.38
Ginting Hilmy,FITB,45.26,50.11,51.95
Fadila Pasaribu,SITHR,64.87,69.42,63.52
Rafi Nur,SAPPK,47.9,50.44,54.39
Fathimah Muahamad,STEI,51.89,54.79,68.73
Samuel Rizkullah,STEI,52.19,62.09,73.85
Papuani Benito,FSRD,75.92,76.55,48.87
Hanna Armando,SAPPK,46.84,57.31,83.04
Sule Muhammad,FITB,45.89,45.74,60.16
Sreshi Emma,SITHS,62.25,65.45,67.58
Diva Bagus,FMIPA,51.06,54.81,68.31
Johannah Azzahra,FSRD,80.16,76.57,67.22
A Sulasmoro,SBM,65.34,62.98,53.36
maulida David,SF,60.6,61.67,57.05
Andresta Jericho,FTSL,24.5,33.78,70.29
Amila Ilyasa,FSRD,72.98,82.17,54.66
Alfajri Larasati,FTMD,58.23,58.16,72.6
Sofiana Ardani,SF,60.96,60.12,56.0
Fawwaz Muhlisoh,FTMD,59.63,62.79,46.57
Aryasatya Zuhva,SAPPK,46.64,50.73,65.96
Yoel Pratami,STEI,52.12,56.15,48.75
Saputra Argakoesoemah,FTSL,35.35,36.96,44.31
Marwa Vinsensius,FMIPA,49.95,50.77,51.26
Immanuel Agung,SF,59.88,66.96,73.73
Tampubolon perdana,FTSL,35.69,40.4,45.33
Arrazi Grizzlie,FITB,46.29,45.14,56.33
Deedat nur,STEI,53.56,57.84,57.9
Putra Marianto,FTSL,29.85,34.1,55.96
Margareth W,FMIPA,50.05,52.72,58.46
Ridwan Timothy,SITHR,63.36,70.73,55.49
Made Alif,FITB,45.96,49.93,56.64
Kusuma ALFARAS,FTTM,38.71,46.69,46.69
Rizky Muhammad,STEI,52.33,53.5,53.73
Aurelia Dian,FTMD,57.0,62.91,48.93
I.P Aisyah,FSRD,74.62,76.28,52.62
Angelica Abraham,FSRD,70.49,66.29,40.14
Ridha Muhammad,SF,61.32,64.43,61.9
Tiana Farandi,FTSL,33.35,47.3,70.04
Rizki fadil,SITHR,62.99,67.66,63.71
Anggarawan Farhandika,SF,59.96,58.5,67.24
Filandow Amalia,SBM,68.68,71.28,57.0
Hutagaol Witjaksono,FTMD,59.78,62.73,54.8
Nurazizah Limawan,FSRD,74.59,72.79,46.17
Jellyn Daffa,FITB,45.02,50.34,58.39
Bariq Ghiffari,FMIPA,49.77,52.52,48.64
Mario Nurinnisa,FSRD,71.71,70.35,52.53
Banowati Kanaya,FSRD,78.01,82.74,44.66
Gisyla Addar,STEI,55.57,52.9,73.47
Muhammad Jeraldo,SBM,68.16,68.67,49.55
Felicia Ahmad,FITB,46.05,48.1,31.25
Khavivah Alifia,FMIPA,50.92,53.98,61.13
Wahid Humaira,SAPPK,46.88,48.44,48.44
Falakh Zaida,STEI,53.25,55.14,54.08
Nayu Farhan,SITHR,64.72,62.5,39.11
Lukman Enya,FMIPA,50.98,49.91,53.57
Johan Raissa,FTMD,57.91,61.31,54.4
Natalia Gadmandasa,FTSL,35.64,43.49,60.76
Alif Edward,FSRD,74.88,71.9,57.25
Alfrito Ariel,SAPPK,47.79,49.9,34.19
Richard Akbar,FTSL,36.2,38.84,78.68
Cesara Farhana,STEI,53.34,58.42,64.28
Anis Vanness,SITHR,64.32,67.48,61.01
Grace Yoga,FTTM,42.24,48.16,86.26
Nur Suci,SAPPK,47.12,51.26,57.57
Anggi Salwa,SBM,65.83,58.65,50.85
Edseltama Hadi,FTSL,26.38,30.59,71.44
Reza Kuncoroadi,SITHR,63.86,62.83,64.87
Rezyarifin Fadli,FMIPA,51.24,55.15,63.36
Ferawati Farid,FMIPA,49.3,56.75,43.17
Akromu Calvin,FTTM,39.84,41.25,71.86
Zhafran Alvito,FITB,44.16,47.18,54.25
Muhammad Andi,SF,60.2,62.9,41.69
Tiovanny tanggal,FTMD,56.55,58.23,82.37
Rinaldi Murniadi,FTTM,43.13,47.18,63.05
Brigitta Saniyyah,FTTM,41.59,45.84,71.06
Gadmandasa Mumtaz,FITB,44.89,52.36,65.33
Imania Valencia,FTTM,39.84,51.36,39.24
Scifo Leo,SF,60.8,61.56,51.93
Agusta Bagaskara,FTTM,39.75,37.9,69.2
Nicole Jati,FITB,45.28,49.16,58.02
Michael Thirdy,FTSL,28.47,32.62,51.93
I Zafiral,SAPPK,48.0,53.24,64.01
Fitri Habiburrahman,FTSL,35.87,42.69,48.84
Rasyid FH,FSRD,77.78,77.89,85.26
Hammadi Stephanie,STEI,52.62,56.32,59.62
Sitorus Pradipa,FITB,45.81,47.61,56.85
Syifa Ansellino,STEI,54.73,58.07,65.64
Annisa Dewi,FMIPA,48.64,54.36,75.89
Aryo Japardi,SF,60.92,62.73,57.33
Tamher Ari,FTTM,42.47,44.37,60.54
Syahbani Haryanto,FMIPA,51.32,51.28,65.11
Ghulam Nafisah,SITHR,63.83,64.86,54.8
Adya Steven,FMIPA,48.55,50.37,63.99
Ajeng Prameswari,SITHS,61.65,60.77,63.87
William Muhammad,SITHR,62.86,65.23,52.28
Dwi Putri,SITHS,61.95,64.86,58.59
Jamroni Sultan,FTSL,37.5,41.3,48.48
Arria yassar,FMIPA,48.34,53.85,55.65
Tabina Sean,FTMD,58.23,59.07,59.1
Zuhair Raihanah,SITHR,64.79,65.99,57.92
Maharani Maryam,FTMD,58.8,60.42,68.98
Bernard Firdauz,STEI,51.76,54.91,47.82
Saragih Mahesa,STEI,56.02,63.57,72.8
Samuella Hehakaja,SF,60.07,62.86,49.0
Della Timothy,SBM,65.29,63.12,59.25
Billy Alfian,SF,61.51,65.3,57.13
Rihanasti Aji,FTTM,40.96,45.01,57.8
Shaafiiana Azzahra,FTMD,57.73,61.66,36.4
Afif R,FTMD,57.71,58.92,54.43
Tania Ridlo,FTMD,59.22,57.69,61.67
Surya Nugraha,STEI,51.76,52.93,62.94
Restu Jeremy,FTSL,29.33,31.65,49.42
Shafa arya,FMIPA,49.52,55.27,76.02
Khumar Munandar,FMIPA,48.31,49.57,55.01
Hendriani Jessica,SBM,67.66,65.44,62.22
Burhanuddin Arya,FTTM,39.13,41.89,55.41
Rafifa P,SF,61.16,66.13,60.28
Ardian Jeffrey,SITHS,62.08,69.58,59.35
Agandra Aulia,STEI,54.02,57.28,60.31
Sari Nabil,FITB,46.33,54.28,62.11
Wayan Muhammadan,FSRD,75.83,77.48,50.17
Sandriana Tazkia,FTMD,57.9,62.25,51.08
Fajri Erganikasalist,SBM,69.1,70.69,64.96
Lestari Valencia,FTSL,34.52,35.34,60.37
Fernandez Anisa,STEI,54.37,59.31,68.72
Syifa GUGUN,FMIPA,50.32,52.82,46.98
Nabila Lista,FTMD,57.06,62.75,57.64
Luthfiyah Al,FTMD,57.48,59.13,53.16
Gilang Khansa,FTMD,58.67,61.06,68.12
Yudhistira Nur,SITHR,64.88,66.21,47.93
Aron Marwah,FITB,46.22,50.48,50.73
Aurick Agung,FITB,46.39,49.29,50.93
Wijaya Kenzie,STEI,51.85,55.15,58.9
Catalina Nanda,STEI,54.78,57.87,59.11
Surjadi Muhammad,FTSL,34.04,40.36,59.06
Raharjo Agil,FTTM,40.2,39.11,59.05
Faza Salwa,FTTM,40.6,45.28,49.91
Joel Manafi,FITB,46.2,54.61,53.07
Angelica Naufal,FTMD,57.43,62.94,62.09
Purba Dliya'uljihad,STEI,53.24,56.57,82.17
Soegiharto akmal,SITHS,61.61,63.42,50.72
Rofi nafi,FTTM,41.89,51.16,56.92
Amadeus Bonifasius,STEI,52.52,56.45,57.23
Saddam P.,FSRD,74.91,78.54,53.6
Muhammad Ismail,SBM,69.12,67.26,57.6
Roro Cahyaningrat,FMIPA,50.39,56.56,79.17
Chandra Putra,STEI,55.18,60.11,63.88
Ihsan Nuur,SITHR,63.93,63.49,50.72
Putri Mumtaz,FMIPA,48.67,51.26,63.5
Romadlona Maranatha,FTSL,27.89,35.13,43.8
Lubis Bintang,STEI,55.87,58.96,55.56
Latifah Alifa,STEI,55.3,53.19,72.93
Tansil Amanda,SITHS,61.79,62.84,65.05
Fadila Haidar,STEI,53.08,56.63,54.63
Aziz adhika,FSRD,71.75,74.63,45.51
Tantio Ginting,FTMD,59.04,62.19,62.23
Muhammad Lokitha,STEI,55.6,57.89,57.19
Edison Dewi,SITHR,63.08,64.52,64.08
Akbar Mariana,STEI,51.84,52.98,72.77
Banni Syathir,SF,59.97,67.75,41.38
Jasmine Ramadhan,STEI,52.48,53.98,59.1
Rahmady Imanuel,FTTM,38.88,46.06,40.58
Nicholas Gitsna,SAPPK,46.89,49.67,53.37
Ari Sule,FTSL,33.07,39.82,50.72
Alfito Pramonozaki,SBM,67.43,71.65,60.39
Azizah Nurfathonah,FSRD,70.83,74.58,56.87
Hamiid putra,STEI,55.38,55.21,72.74
Effendi Yovanka,FMIPA,51.51,57.44,66.38
Wafika Ilhan,STEI,52.29,55.5,52.02
Brillianti Uswatun,FMIPA,48.73,52.0,46.88
Renaldy Firmandy,SBM,69.14,68.98,60.26
Achmad Gunawan,STEI,53.39,54.56,59.09
Andrew Bintang,FMIPA,50.18,53.95,71.9
Kawar Yashmine,SAPPK,47.14,46.74,60.04
Sekar Agung,FITB,43.83,45.56,59.78
Vani K.,SF,60.25,59.81,67.28
Djelantik Michael,FTSL,36.25,37.99,54.14
L. Christopher,SAPPK,47.72,47.46,66.21
Marcellus Alamsyah,FMIPA,49.34,50.86,50.34
Hezli Gde,FSRD,72.91,78.95,59.81
Kusuma Nadira,STEI,54.81,57.91,48.19
Aulia Filan,SAPPK,47.43,51.91,63.38
Hana M.,FTMD,57.12,52.53,47.43
Aryanti Adelia,SBM,66.84,64.7,56.91
Dafifa Farhan,FTMD,59.27,65.56,72.32
Nathaniel Cahyadi,FITB,43.67,49.21,64.82
Abigail Salim,SF,60.13,64.05,55.38
Rival Zem,SBM,66.36,69.13,63.53
Tanya Fadia,FITB,44.92,48.43,61.61
Fathimah Marcellino,FTTM,40.44,45.7,68.93
Errena Aini,FSRD,82.75,79.52,54.39
Yulma Fadhila,SBM,69.16,66.63,43.58
Satria Al,FTSL,29.25,36.99,57.09
Firjatullah Widya,FTSL,33.69,39.76,62.48
Kusuma Afrizal,SAPPK,47.46,52.32,62.57
Arsadian Arafat,FTMD,56.23,59.67,46.92
Rafif Hassan,FTSL,34.04,41.27,41.51
Laksmi Luqman,FTSL,35.78,42.34,67.98
Hilmy Ramli,SAPPK,47.5,50.4,51.25
Widya Sarwinata,FTMD,58.17,59.89,42.02
Gerald Ummatun,STEI,54.84,59.27,49.81
Pramudya Johanes,SITHR,63.34,64.99,52.95
Rizam Rayhan,FSRD,72.15,71.38,85.07
'Abdan Rahmani,FTTM,38.38,38.8,58.42
Santoso Antonio,FITB,46.18,51.51,57.47
Liza Angelica,FMIPA,49.75,47.42,50.34
Sultan Samuel,FTSL,36.74,47.28,48.29
Levana Dilla,FMIPA,48.33,54.97,59.89
Grace Nurul,SBM,65.85,66.32,66.74
Stevanus Akhmad,FTMD,56.18,60.2,52.37
Fitriyani Fachry,SAPPK,46.56,45.47,60.81
Gendhis Oxanna,FITB,43.95,49.16,65.08
Nauli bhary,FTMD,56.8,60.57,54.13
Kuncoroadi Br,FSRD,80.72,81.39,50.74
Hasugian Aryasatya,FSRD,70.31,75.09,54.21
Alya Nurhasna,FTSL,22.83,27.81,59.42
Muhammad Fitriani,FITB,45.45,45.18,60.31
Gunawan Sihombing,FMIPA,51.52,58.38,58.17
Muhammad Ghatsa,FTSL,33.87,35.68,51.56
Kirana Hamda,FTMD,56.09,59.19,60.73
Fadhila Ahmad,SAPPK,46.97,51.27,53.97
Shauqie Naufal,STEI,55.55,55.6,72.22
Devira Nurohman,FSRD,75.64,79.04,60.48
Annisa Wicaksono,FTSL,28.33,31.53,55.87
Maulidia Prakosa,FTSL,35.44,42.52,52.86
Muhammad Prasetyo,SITHS,62.21,64.94,61.61
Hans Zada,STEI,53.21,50.99,57.86
Bagus Felita,FSRD,83.95,88.14,61.43
Annisa Bilal,SITHR,63.72,63.92,32.65
Alifa Adyan,SITHS,61.75,63.32,62.91
Loura Pardede,SBM,65.92,69.65,57.74
Ananda Muhammad,FTMD,59.14,59.08,52.57
Siahaan nareswari,SBM,66.56,66.7,57.31
Sri Prima,STEI,54.98,59.24,54.44
Praharsa Arrum,STEI,53.34,54.91,71.56
Syahna Veronica,FTMD,57.65,60.42,49.36
Fachri Sachio,FITB,44.24,48.66,52.68
Ali Dannisa,FTSL,31.74,39.77,63.93
Jessen Samuel,FTSL,36.95,39.21,58.36
caitlyn Putra,FTTM,42.33,42.06,69.92
Oswaldha Destia,FTSL,28.39,39.63,62.4
Aishafahana Qaumi,FSRD,72.73,67.35,67.23
Zaidan Dewanti,FTTM,42.64,45.07,55.18
Raihan Claudia,FTMD,57.24,65.94,66.37
Putri Adam,FTSL,33.04,37.09,56.75
Timoteo P.,FTTM,41.36,48.02,42.37
Septina Artha,SAPPK,47.5,48.29,53.47
Pajung Saraswati,FTTM,41.13,44.58,68.13
Kottama Sitanggang,SBM,68.74,71.74,60.35
KK Frisya,STEI,51.92,58.13,47.13
Melani Mutia,SF,61.14,62.88,56.82
Fresty Nabila,FSRD,71.0,71.05,57.67
Atsani Putri,FTTM,42.06,49.99,44.04
Pardede Khalifah,FTTM,39.04,42.73,60.84
Safira FA,SAPPK,47.62,50.56,58.36
Michel Ma'wa,SBM,66.03,70.83,58.18
Rizki Nur,STEI,55.73,57.13,58.64
Mahesa Rabbani,SAPPK,47.5,54.83,35.13
Riska Noor,SAPPK,47.43,52.48,65.08
Nuridzati Sharfina,FTSL,36.52,33.35,41.64
Aldin Alfarisi,FSRD,70.9,72.23,48.76
Fathariska Altito,FTTM,40.91,46.47,65.7
Azzahra Rifqi,SF,60.51,60.87,54.14
Athira Kurniawan,FTMD,56.45,58.4,51.02
Hosea Akmal,STEI,51.88,53.23,64.8
Yugo Yulliane,FMIPA,48.39,51.18,71.14
Muhammad Salsabila,FTTM,38.11,41.05,52.62
Marta Nicolas,FMIPA,49.42,51.23,50.03
Kastara Sakira,STEI,54.14,51.97,47.42
Eric Pratama,SAPPK,47.98,46.04,55.06
Salsabila Chandra,FTSL,31.24,32.83,66.61
Anisa Daitona,SBM,68.88,69.2,70.09
Salwa Vira,STEI,52.33,52.9,59.62
Kamila Maura,SITHR,63.52,64.45,59.54
Theodore An,FTTM,39.96,44.93,61.38
Christian Kurniawan,FITB,44.18,47.14,51.87
Indra Ruslan,FTMD,57.83,69.64,63.48
Fadhil Rajendra,FTTM,40.12,44.82,57.16
Maharani Mursyida,FTSL,26.31,35.9,49.25
Raden Irgie,SITHR,64.81,64.81,69.34
Liana Amarulloh,STEI,55.17,57.17,61.28
Setiadi Nadya,SITHS,62.41,66.83,70.35
Mabruroh Zahra,FITB,44.78,48.59,57.53
Timothi Pasha,SF,61.21,69.14,50.83
Ahmad Fadhiilah,FTMD,59.0,64.06,52.58
Iqbal Anugrah,FMIPA,51.38,59.26,52.19
Primalia Hielmy,STEI,53.26,54.29,66.65
Daniel Amarin,STEI,51.96,52.75,74.73
Dieny Hartono,SITHR,64.07,67.68,62.94
Benedict Aulia,FTTM,43.08,44.64,65.14
Daniel A'yun,SITHS,61.88,64.02,55.24
Jonathan Lumaksono,FTTM,42.72,48.49,48.79
Manurung Pancha,FSRD,76.17,79.2,57.91
Tahta Raden,FTTM,38.34,45.46,49.02
Parawangsa Henilesta,SF,60.99,64.93,64.47
Audrey Muhammad,FMIPA,49.2,55.8,40.55
Afra Bintang,SITHR,64.95,63.54,52.13
Michael Jason,FMIPA,48.93,50.7,67.56
Muhammad Puspa,FITB,43.89,51.02,63.95
Ni'am Camilla,FTSL,30.92,30.59,60.84
Adriansyah Ailsa,SITHR,62.97,67.21,46.41
Puti Rayhan,SBM,69.1,72.83,56.6
Muhammad Sembiring,FTMD,57.99,57.36,65.28
Muhammad Raihan,FTMD,56.89,59.66,37.15
Intan Firman,FTMD,56.09,57.72,55.87
Muhammad Nugraha,SITHR,63.2,62.5,71.17
Putra Zacharias,FTMD,57.86,59.04,36.02
Huda Justin,FMIPA,51.27,56.06,47.29
Muhammad Budi,FTSL,32.53,34.68,61.42
Hermansyah Putri,SAPPK,48.03,45.57,40.5
Nurul Tangkas,FMIPA,50.75,58.2,39.28
Fauziah Atha,SBM,68.01,63.17,72.83
Pindhan Muhammad,FTTM,38.43,35.03,39.47
Michael Effendi,FITB,44.58,45.86,65.69
Ramdhani Putrawansyah,FTMD,57.94,59.86,64.02
Fadhil P,FSRD,74.97,73.94,48.01
Alviolita Eunike,FMIPA,51.64,54.51,47.64
Sari Fibriyanto,FTMD,57.19,63.59,49.63
Orvala Farhan,SITHR,64.25,63.21,61.95
Ammar Argakoesoemah,FTTM,39.61,44.21,44.75
Afifah Asnawi,FTSL,31.11,33.49,64.47
Ayu Hidayat,FMIPA,48.56,50.13,48.37
Kautsar Cahyani,FITB,44.7,48.35,52.79
Buana Nathania,FTTM,41.4,44.0,47.12
Lim Andyeni,SBM,69.27,68.66,46.83
Salman Annisa,FITB,46.27,48.43,55.11
Cendika Hadyan,STEI,52.15,49.94,56.72
Wijaya Fairuz,FSRD,72.03,73.05,57.02
Juan Tediana,FTTM,37.73,40.17,53.1
Nurazizah Ficilia,STEI,53.41,61.01,70.21
Samuel Maria,FMIPA,50.29,45.99,57.56
Quanta Afif,FTSL,30.64,32.8,58.96
Felicia I,FTSL,28.55,32.04,63.49
Agam Rifa,SF,60.54,64.28,41.78
Nareswari Mikael,FTTM,41.06,47.49,48.61
Putri Meydina,FTTM,40.98,43.25,41.99
Sixtina Ananda,FTMD,57.18,58.97,57.37
Raihanah Tatya,FTSL,27.5,35.63,42.72
H Prameshwari,FTMD,56.22,57.85,56.14
Kurniawan Luthfi,SITHS,61.71,58.78,56.99
Rachmat Estefani,FITB,44.89,44.75,59.02
vanessa Monintja,SITHS,62.13,67.71,49.19
Khalisha Fioerella,STEI,55.93,59.05,46.88
Malika Sean,FMIPA,48.77,54.11,51.06
Rianggara Ramadhani,SBM,65.76,67.21,45.72
Dhiyani Shakeela,STEI,55.56,51.3,60.37
Lorenza Lazuardi,STEI,52.51,61.04,49.97
Rifki Gredito,FTTM,40.34,41.36,70.73
Galdas Davidson,FTMD,58.77,62.87,65.19
Windayanti Putri,FMIPA,51.15,50.77,48.31
Stanley Glend,STEI,52.07,55.3,65.1
Bagaskara Tenno,SAPPK,46.54,49.23,59.84
Elvira Triandika,SITHR,62.93,61.0,50.62
Irsyad Fikri,STEI,52.53,57.82,50.72
krisna Fadhila,FITB,46.48,48.08,68.84
Muhammadi Apraditu,STEI,54.93,58.38,45.85
Agustina Vincentius,FTTM,41.0,44.72,58.6
Azarya S,FITB,44.56,48.46,64.31
Maulidya Fikri,SBM,67.34,68.59,71.56
Bagus Jalu,FSRD,80.56,81.81,57.8
Jeremiah Akbar,FTMD,59.07,63.11,39.25
Raja Elfa,FTMD,56.32,67.75,51.11
Nadia Clement,SBM,69.66,77.21,56.34
Zahmawani Anggoro,SITHS,61.8,62.75,68.89
Anggito Dona,FTMD,58.05,61.76,66.74
Al Nadhira,SITHR,63.66,65.18,56.35
Jason Estigade,FTSL,34.03,43.46,82.42
Selvarani Felita,FTTM,40.2,45.6,57.2
Alanis Redjel,SF,61.24,61.75,52.5
Managam Hasna,FITB,46.38,48.92,51.26
Muhammad Nathania,FTMD,59.18,59.42,62.75
Felicia Siahaan,FTSL,34.95,45.25,62.97
Thomas Fernanda,SAPPK,47.9,52.56,56.55
Tri Alfajri,FITB,45.79,46.56,75.6
abidah Santo,FTSL,36.06,39.73,51.26
Firmansyah Azzahra,FTTM,37.81,42.57,61.85
Nawwal Desi,FTMD,57.06,55.78,74.41
Shandy Gnting,SBM,66.18,67.16,64.48
Claudia Irsyad,FTMD,59.62,61.91,69.3
Fikri Alisha,SITHS,62.49,65.8,63.93
Mohamad Melati,STEI,53.62,51.34,67.86
Emerentia Rabbani,FTSL,32.74,35.74,68.67
Shafaat Natasha,FMIPA,50.33,53.54,58.01
Anggita Iftitah,FMIPA,51.48,53.56,67.58
Lukman Elga,SAPPK,47.71,50.87,54.14
Novita Kevin,SAPPK,47.63,52.67,58.23
Mutiara Ramadhan,FTSL,35.58,39.21,66.55
Afifah Andri,FITB,46.22,52.25,68.3
Abdul Ruth,FSRD,73.01,73.99,59.06
Monica WIguna,STEI,52.73,49.42,58.31
Rafii Barron,FTSL,37.03,37.64,53.23
Vindiana Davin,SITHR,63.35,67.35,63.71
Hafidz Athira,SBM,65.49,62.24,48.85
Fahrisi Hilmy,FTTM,39.62,46.13,48.9
Fadhillah Abdul,FITB,44.62,49.14,61.36
David Alexander,SBM,65.64,63.54,62.65
AYA Aura,SBM,65.8,71.42,53.27
Kawakibi Septian,SBM,67.37,68.42,58.69
Gartiwa Ilham,STEI,54.02,54.13,45.7
Bima Haribowo,SBM,68.62,74.19,63.57
Surya Deryl,FTMD,59.36,57.37,75.18
Davy Sateriano,FITB,44.94,48.95,62.29
Wicaksono Rachita,FTMD,59.68,67.15,56.56
Vincent Timothy,SBM,68.68,67.97,53.12
Naufal Alfonso,SBM,67.05,68.75,59.13
frisya Theodorus,FSRD,85.67,83.41,65.59
Rahadi Rahmat,FTTM,40.97,43.85,48.15
Rizky Cherish,SITHR,63.2,66.28,55.37
Zepanya Khalisa,FTMD,57.81,61.11,54.04
Rio Izzulhaq,FSRD,73.02,74.05,63.19
Hafizh Mochammad,SAPPK,47.28,54.55,64.75
Salsabilla Raden,FMIPA,48.63,52.71,47.33
Yemima Muhammad,FSRD,75.71,75.48,48.13
Hauzaan Kania,FITB,43.83,47.8,67.13
Putri A,FTTM,42.53,49.07,42.62
Ryan Febryola,SITHS,62.72,64.74,59.14
Rizky Suwono,SBM,65.81,69.81,77.27
Rafifa Ayuningtias,FTTM,42.33,41.72,43.88
Lili Joshua,FTMD,57.47,56.82,71.68
Waruwu Mosca,SITHR,64.45,68.34,64.78
Nathania Raharjo,SF,60.68,63.9,53.64
Nabil Aji,SAPPK,47.48,45.3,43.87
Hanif May,FITB,44.38,51.04,53.82
Emir Normallairy,FTTM,42.76,47.88,69.8
Dicktya madani,FSRD,70.02,72.21,39.43
Nauval Mutia,FMIPA,50.48,51.65,60.04
Markus Pradana,FMIPA,50.11,54.73,53.93
Fadilla L.,STEI,53.68,55.28,64.49
urfa Bagus,STEI,52.16,49.9,69.25
Muhammad Darrell,FTMD,57.23,54.66,74.94
Arisa Wiwardhana,FITB,46.11,52.63,54.58
Saidpudin Haidar,SBM,67.86,67.44,48.22
Tresnoadi Soegijoko,SBM,67.41,69.39,49.18
Raden Daffa,FTTM,40.52,44.89,50.17
Adsyah Raniah,SF,60.68,60.57,57.18
Santosa Amanda,STEI,51.73,50.3,37.0
Raihan Setiawan,STEI,54.16,57.14,57.91
Zahira Miryam,FTTM,38.6,47.56,53.43
Mawar Pasolang,STEI,52.27,58.3,71.06
Deevani Gede,FTMD,57.02,59.86,68.89
Arrachman Raziqin,STEI,55.0,64.09,71.83
Azzida Alif,FITB,44.94,41.49,64.39
Azaria Satrio,FTTM,39.77,46.03,50.61
Bernardino Ng,FTTM,41.72,51.32,53.56
Alfitri Sasangga,FTMD,59.27,65.45,46.11
fahrezi Meyliana,SAPPK,47.69,51.02,57.71
Mori Miranda,FMIPA,50.91,55.89,43.79
Livia Widyadana,FITB,44.51,54.44,76.7
Prameswari Aura,FSRD,82.56,81.71,83.22
Trizzos Rais,FITB,44.5,51.81,52.01
Ryza Yasmin,SITHR,64.64,71.6,56.75
Bagas Rasyid,FMIPA,49.9,55.29,61.24
Ivan Tegar,FTMD,57.53,59.42,58.53
Ryu Hendyputra,FITB,44.37,49.86,45.77
Rafi Hakim,SAPPK,47.8,51.31,62.08
Novaleni Achmad,FMIPA,51.63,52.39,62.5
Septian Iftikar,FTTM,38.59,35.71,63.97
Ananda Br,SBM,65.4,71.1,71.95
Aquinas dwi,FTTM,42.59,38.5,62.8
Zahmawani Hendarto,FSRD,80.21,82.64,65.72
Hanna Ketut,SITHR,62.77,61.32,57.28
Filipus Satriyadi,SF,60.62,61.83,67.36
Abdullah Radwa,FITB,45.24,49.18,54.32
Tiara Wilfried,FTMD,58.9,63.78,53.26
Nugroho Raden,SITHR,64.9,66.39,79.88
Ningrum Realdi,SITHR,64.51,68.92,55.62
Restu Aliffathiyya,FTTM,42.01,41.53,44.48
Rahman Retno,SITHR,63.69,69.11,33.76
Aziz Puan,FSRD,76.94,80.25,62.58
Fadly putri,FMIPA,51.2,51.23,51.84
Rahmadini Efrata,FSRD,76.77,76.15,34.7
Ikrima Reynald,FITB,45.17,49.97,58.56
Fikri dhimas,SAPPK,47.17,52.31,64.34
I Putri,FTTM,38.72,40.61,69.46
Raharjo Manurung,STEI,54.63,59.01,53.39
Jordy Aqila,FTTM,41.75,46.6,60.78
Muhammad Setiyarni,SITHS,62.57,71.8,46.42
